fork,execve,read,write,open,close,socket,connect,accept,send,recv
0,21,254,72,819,334,0,0,0,0,0
0,16,366,117,672,329,0,0,0,0,0
0,5,586,402,319,188,0,0,0,0,0
0,5,587,452,279,177,0,0,0,0,0
0,2,509,426,303,260,0,0,0,0,0
0,0,481,534,242,243,0,0,0,0,0
0,9,462,263,473,293,0,0,0,0,0
0,4,451,375,380,290,0,0,0,0,0
0,1,429,541,261,268,0,0,0,0,0
0,13,457,65,639,326,0,0,0,0,0
0,14,477,46,637,326,0,0,0,0,0
0,17,425,56,683,319,0,0,0,0,0
0,13,456,70,629,332,0,0,0,0,0
0,12,485,71,599,333,0,0,0,0,0
0,10,536,327,425,202,0,0,0,0,0
0,14,487,93,605,301,0,0,0,0,0
0,10,430,41,621,398,0,0,0,0,0
0,0,441,13,523,523,0,0,0,0,0
0,0,487,20,497,496,0,0,0,0,0
0,14,447,44,651,344,0,0,0,0,0
0,8,561,452,324,155,0,0,0,0,0
0,14,464,64,639,319,0,0,0,0,0
0,12,464,196,546,282,0,0,0,0,0
0,10,475,116,559,340,0,0,0,0,0
0,2,635,673,117,73,0,0,0,0,0
0,3,663,630,135,69,0,0,0,0,0
0,0,737,716,23,24,0,0,0,0,0
0,0,638,862,0,0,0,0,0,0,0
0,1,618,846,26,9,0,0,0,0,0
0,8,639,314,360,179,0,0,0,0,0
0,0,684,816,0,0,0,0,0,0,0
0,0,726,774,0,0,0,0,0,0,0
0,4,727,485,186,98,0,0,0,0,0
0,0,737,763,0,0,0,0,0,0,0
0,0,725,747,15,13,0,0,0,0,0
0,1,752,671,48,28,0,0,0,0,0
0,0,737,759,2,2,0,0,0,0,0
0,0,774,688,19,19,0,0,0,0,0
0,1,714,721,43,21,0,0,0,0,0
0,0,724,772,2,2,0,0,0,0,0
0,1,727,670,62,40,0,0,0,0,0
0,0,738,762,0,0,0,0,0,0,0
0,0,726,756,9,9,0,0,0,0,0
0,1,743,668,55,33,0,0,0,0,0
0,0,715,781,2,2,0,0,0,0,0
0,0,775,687,19,19,0,0,0,0,0
0,1,697,738,43,21,0,0,0,0,0
0,0,740,756,2,2,0,0,0,0,0
0,1,680,717,62,40,0,0,0,0,0
0,0,741,759,0,0,0,0,0,0,0
0,0,719,763,9,9,0,0,0,0,0
0,9,579,298,407,207,0,0,0,0,0
0,14,509,57,613,307,0,0,0,0,0
0,11,604,94,513,278,0,0,0,0,0
0,2,758,549,116,75,0,0,0,0,0
0,12,495,60,597,336,0,0,0,0,0
0,14,445,39,654,348,0,0,0,0,0
0,7,266,24,353,197,0,0,0,0,0
0,21,254,72,819,334,0,0,0,0,0
0,15,378,115,671,321,0,0,0,0,0
0,6,609,404,299,182,0,0,0,0,0
0,4,630,449,252,165,0,0,0,0,0
0,3,521,379,331,266,0,0,0,0,0
0,0,476,537,244,243,0,0,0,0,0
0,10,402,297,487,304,0,0,0,0,0
0,3,448,378,378,293,0,0,0,0,0
0,1,440,504,290,265,0,0,0,0,0
0,14,472,68,612,334,0,0,0,0,0
0,14,464,46,654,322,0,0,0,0,0
0,17,428,64,669,322,0,0,0,0,0
0,13,442,71,647,327,0,0,0,0,0
0,12,487,62,602,337,0,0,0,0,0
0,10,538,327,423,202,0,0,0,0,0
0,14,493,90,606,297,0,0,0,0,0
0,9,431,41,609,410,0,0,0,0,0
0,0,445,13,521,521,0,0,0,0,0
