fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,42,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,42,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,6,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,6,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,6,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,6,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,6,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,42,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,42,1,1,0,0,0,0,0,namd_r
0,0,1456,0,39,5,0,0,0,0,0,namd_r
0,0,524,2,1,1,0,0,0,0,0,namd_r
