fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,21,260,68,815,336,0,0,0,0,0,perlbench_s
0,16,358,117,679,330,0,0,0,0,0,perlbench_s
0,5,586,428,290,191,0,0,0,0,0,perlbench_s
0,5,626,431,270,168,0,0,0,0,0,perlbench_s
0,2,509,424,305,260,0,0,0,0,0,perlbench_s
0,0,483,524,246,247,0,0,0,0,0,perlbench_s
0,9,497,259,443,292,0,0,0,0,0,perlbench_s
0,4,459,353,402,282,0,0,0,0,0,perlbench_s
0,0,423,562,257,258,0,0,0,0,0,perlbench_s
0,13,463,73,617,334,0,0,0,0,0,perlbench_s
0,14,477,44,639,326,0,0,0,0,0,perlbench_s
0,17,412,58,692,321,0,0,0,0,0,perlbench_s
0,14,455,66,628,337,0,0,0,0,0,perlbench_s
0,12,482,78,591,337,0,0,0,0,0,perlbench_s
0,10,527,327,445,191,0,0,0,0,0,perlbench_s
0,14,491,88,604,303,0,0,0,0,0,perlbench_s
0,10,447,46,612,385,0,0,0,0,0,perlbench_s
0,0,435,11,526,528,0,0,0,0,0,perlbench_s
0,0,487,19,497,497,0,0,0,0,0,perlbench_s
0,13,441,47,633,366,0,0,0,0,0,perlbench_s
0,6,601,440,302,151,0,0,0,0,0,perlbench_s
0,15,449,55,658,323,0,0,0,0,0,perlbench_s
0,14,425,205,572,284,0,0,0,0,0,perlbench_s
0,9,428,129,574,360,0,0,0,0,0,perlbench_s
0,3,696,541,164,96,0,0,0,0,0,perlbench_s
0,2,626,731,92,49,0,0,0,0,0,perlbench_s
0,1,711,678,66,44,0,0,0,0,0,perlbench_s
0,0,656,844,0,0,0,0,0,0,0,perlbench_s
0,0,674,826,0,0,0,0,0,0,0,perlbench_s
0,9,552,399,369,171,0,0,0,0,0,perlbench_s
0,0,761,705,17,17,0,0,0,0,0,perlbench_s
0,0,723,777,0,0,0,0,0,0,0,perlbench_s
0,3,750,533,141,73,0,0,0,0,0,perlbench_s
0,1,683,746,45,25,0,0,0,0,0,perlbench_s
0,0,723,770,4,3,0,0,0,0,0,perlbench_s
0,1,727,675,59,38,0,0,0,0,0,perlbench_s
0,0,737,763,0,0,0,0,0,0,0,perlbench_s
0,0,722,739,20,19,0,0,0,0,0,perlbench_s
0,1,698,734,44,23,0,0,0,0,0,perlbench_s
0,0,742,754,2,2,0,0,0,0,0,perlbench_s
0,0,732,724,20,24,0,0,0,0,0,perlbench_s
0,1,712,729,42,16,0,0,0,0,0,perlbench_s
0,0,728,758,7,7,0,0,0,0,0,perlbench_s
0,1,710,697,57,35,0,0,0,0,0,perlbench_s
0,0,740,760,0,0,0,0,0,0,0,perlbench_s
0,0,759,699,21,21,0,0,0,0,0,perlbench_s
0,1,702,733,43,21,0,0,0,0,0,perlbench_s
0,0,741,755,2,2,0,0,0,0,0,perlbench_s
0,1,716,707,46,30,0,0,0,0,0,perlbench_s
0,0,723,751,16,10,0,0,0,0,0,perlbench_s
0,0,707,779,7,7,0,0,0,0,0,perlbench_s
0,5,663,428,257,147,0,0,0,0,0,perlbench_s
0,16,451,66,657,310,0,0,0,0,0,perlbench_s
0,10,641,82,489,278,0,0,0,0,0,perlbench_s
0,4,718,487,193,98,0,0,0,0,0,perlbench_s
0,10,526,153,513,298,0,0,0,0,0,perlbench_s
0,14,447,42,651,346,0,0,0,0,0,perlbench_s
0,10,368,33,496,275,0,0,0,0,0,perlbench_s
0,21,254,72,819,334,0,0,0,0,0,perlbench_s
0,15,367,117,672,329,0,0,0,0,0,perlbench_s
0,5,649,402,273,171,0,0,0,0,0,perlbench_s
0,5,644,445,255,151,0,0,0,0,0,perlbench_s
0,3,525,370,336,266,0,0,0,0,0,perlbench_s
0,0,499,494,253,254,0,0,0,0,0,perlbench_s
0,7,442,349,418,284,0,0,0,0,0,perlbench_s
0,6,454,323,427,290,0,0,0,0,0,perlbench_s
0,0,444,523,266,267,0,0,0,0,0,perlbench_s
0,12,435,155,569,329,0,0,0,0,0,perlbench_s
0,15,449,46,671,319,0,0,0,0,0,perlbench_s
0,15,449,53,657,326,0,0,0,0,0,perlbench_s
0,14,444,63,646,333,0,0,0,0,0,perlbench_s
0,12,487,81,587,333,0,0,0,0,0,perlbench_s
0,12,418,333,504,233,0,0,0,0,0,perlbench_s
0,14,503,88,589,306,0,0,0,0,0,perlbench_s
0,10,442,46,626,376,0,0,0,0,0,perlbench_s
0,0,431,10,530,529,0,0,0,0,0,perlbench_s
0,0,486,20,497,497,0,0,0,0,0,perlbench_s
0,12,440,44,632,372,0,0,0,0,0,perlbench_s
0,7,570,443,319,161,0,0,0,0,0,perlbench_s
0,15,468,55,637,325,0,0,0,0,0,perlbench_s
0,13,458,201,563,265,0,0,0,0,0,perlbench_s
0,10,425,130,569,366,0,0,0,0,0,perlbench_s
0,3,694,485,205,113,0,0,0,0,0,perlbench_s
0,2,676,681,92,49,0,0,0,0,0,perlbench_s
0,1,695,694,66,44,0,0,0,0,0,perlbench_s
0,0,731,769,0,0,0,0,0,0,0,perlbench_s
0,0,695,805,0,0,0,0,0,0,0,perlbench_s
0,8,581,481,297,133,0,0,0,0,0,perlbench_s
0,1,709,646,89,55,0,0,0,0,0,perlbench_s
0,0,714,786,0,0,0,0,0,0,0,perlbench_s
0,2,706,675,81,36,0,0,0,0,0,perlbench_s
0,2,743,588,105,62,0,0,0,0,0,perlbench_s
0,0,722,774,2,2,0,0,0,0,0,perlbench_s
0,1,724,675,61,39,0,0,0,0,0,perlbench_s
0,0,737,763,0,0,0,0,0,0,0,perlbench_s
0,0,722,764,7,7,0,0,0,0,0,perlbench_s
0,1,735,672,57,35,0,0,0,0,0,perlbench_s
0,0,747,753,0,0,0,0,0,0,0,perlbench_s
0,0,765,693,21,21,0,0,0,0,0,perlbench_s
0,1,688,747,43,21,0,0,0,0,0,perlbench_s
0,0,736,760,2,2,0,0,0,0,0,perlbench_s
0,1,721,677,62,39,0,0,0,0,0,perlbench_s
0,0,732,767,0,1,0,0,0,0,0,perlbench_s
0,0,726,760,7,7,0,0,0,0,0,perlbench_s
0,1,734,673,57,35,0,0,0,0,0,perlbench_s
0,0,744,756,0,0,0,0,0,0,0,perlbench_s
0,0,773,685,21,21,0,0,0,0,0,perlbench_s
0,1,683,752,43,21,0,0,0,0,0,perlbench_s
0,0,730,766,2,2,0,0,0,0,0,perlbench_s
