fork,execve,read,write,open,close,socket,connect,accept,send,recv,type
0,0,686,773,35,6,0,0,0,0,0,x264_s
0,0,96,1120,3,5,0,0,0,0,0,x264_s
0,0,686,773,35,6,0,0,0,0,0,x264_s
0,0,96,1120,3,5,0,0,0,0,0,x264_s
0,0,686,773,35,6,0,0,0,0,0,x264_s
0,0,96,1120,3,5,0,0,0,0,0,x264_s
0,0,682,777,35,6,0,0,0,0,0,x264_s
0,0,30,779,2,4,0,0,0,0,0,x264_s
0,0,1077,384,35,4,0,0,0,0,0,x264_s
0,0,1109,391,0,0,0,0,0,0,0,x264_s
0,0,1124,376,0,0,0,0,0,0,0,x264_s
0,0,1050,450,0,0,0,0,0,0,0,x264_s
0,0,775,679,36,10,0,0,0,0,0,x264_s
0,0,1012,486,1,1,0,0,0,0,0,x264_s
0,0,1136,363,1,0,0,0,0,0,0,x264_s
0,0,1210,288,1,1,0,0,0,0,0,x264_s
0,0,1060,439,0,1,0,0,0,0,0,x264_s
0,0,986,512,1,1,0,0,0,0,0,x264_s
0,0,679,777,35,9,0,0,0,0,0,x264_s
0,0,970,528,1,1,0,0,0,0,0,x264_s
0,0,955,544,1,0,0,0,0,0,0,x264_s
0,0,1005,493,1,1,0,0,0,0,0,x264_s
0,0,540,620,1,4,0,0,0,0,0,x264_s
0,0,1113,348,35,4,0,0,0,0,0,x264_s
0,0,1110,390,0,0,0,0,0,0,0,x264_s
0,0,1134,366,0,0,0,0,0,0,0,x264_s
0,0,1045,455,0,0,0,0,0,0,0,x264_s
0,0,745,709,36,10,0,0,0,0,0,x264_s
0,0,1090,409,1,0,0,0,0,0,0,x264_s
0,0,1192,306,1,1,0,0,0,0,0,x264_s
0,0,1152,347,0,1,0,0,0,0,0,x264_s
0,0,990,508,1,1,0,0,0,0,0,x264_s
0,0,993,505,1,1,0,0,0,0,0,x264_s
0,0,725,732,35,8,0,0,0,0,0,x264_s
0,0,1010,488,1,1,0,0,0,0,0,x264_s
0,0,990,508,1,1,0,0,0,0,0,x264_s
0,0,1005,493,1,1,0,0,0,0,0,x264_s
0,0,540,766,1,4,0,0,0,0,0,x264_s
0,0,686,773,35,6,0,0,0,0,0,x264_s
0,0,96,1120,3,5,0,0,0,0,0,x264_s
0,0,686,773,35,6,0,0,0,0,0,x264_s
0,0,96,1120,3,5,0,0,0,0,0,x264_s
0,0,1113,348,35,4,0,0,0,0,0,x264_s
0,0,1110,390,0,0,0,0,0,0,0,x264_s
0,0,1134,366,0,0,0,0,0,0,0,x264_s
0,0,1045,455,0,0,0,0,0,0,0,x264_s
0,0,745,709,36,10,0,0,0,0,0,x264_s
0,0,1090,409,1,0,0,0,0,0,0,x264_s
0,0,1192,306,1,1,0,0,0,0,0,x264_s
0,0,1152,347,0,1,0,0,0,0,0,x264_s
